Target	Gene	Reaction
adk	b0474	ADK1 
aroA	b0908	PSCVT 
carA	b0032	CBPS 
cysH	b2762	PAPSR; PAPSR2
dxs	b0420	DXPS 
eno	b2779	ENO 
fbaA	b2925	FBA3 
gapA	b1779	GAPD 
gdhA	b1761	GLUDy 
glmS	b3729	GF6PTA 
gltA	b0720	CS 
gnd	b2029	GND 
ilvC	b3774	KARA1; KARA2
metE	b3829	METS 
pck	b3403	PPCK 
pfkA	b3916	PFK_3; PFK_2; PFK
pfkB	b1723	PFK 
pgi	b4025	PGI 
ppc	b3956	PPC 
prs	b1207	PRPPS 
ptsH	b2415	DHAPT; GLCptspp
purB	b1131	ADSL2r; ADSL1r
purC	b2476	PRASCSi 
pykA	b1854	PYK; PYK4; PYK2; PYK3; PYK6
pykF	b1676	PYK 
pyrF	b1281	OMPDC 
sdhC	b0721	SUCDi 
tpiA	b3919	TPI 
zwf	b1852	G6PDH2r 
